Fecha,Cierre,Apertura,Máximo,Mínimo,Quarter,Weekday
2012-01-06,27.72,28.89,29.15,27.39,1,Friday
2012-01-08,20.88,21.5,21.58,20.84,1,Sunday
2012-01-10,21.99,22.08,22.59,21.73,1,Tuesday
2012-01-11,21.21,21.08,21.44,21.01,1,Wednesday
2012-02-07,30.77,31.25,31.73,30.55,1,Tuesday
2012-02-08,20.04,20.77,20.84,19.82,1,Wednesday
2012-02-10,22.27,22.08,22.49,21.82,1,Friday
2012-02-11,21.18,21.26,21.69,21.07,1,Saturday
2012-03-07,31.2,30.91,31.44,30.8,1,Wednesday
2012-03-08,21.09,20.36,22.16,19.9,1,Thursday
2012-03-10,21.83,22.3,22.49,21.8,1,Saturday
2012-03-12,27.04,28.0,28.88,26.98,1,Monday
2012-04-06,26.9,27.2,27.65,26.44,2,Friday
2012-04-09,17.73,18.08,18.27,17.55,2,Monday
2012-04-10,21.95,22.32,22.4,21.41,2,Tuesday
2012-04-12,27.46,27.06,27.76,26.68,2,Thursday
2012-05-06,25.87,26.7,27.76,25.75,2,Sunday
2012-05-07,31.47,31.32,31.62,31.02,2,Monday
2012-05-09,18.58,18.27,18.75,18.18,2,Wednesday
2012-05-10,20.91,21.49,21.63,20.88,2,Thursday
2012-05-11,21.25,21.1,21.48,20.92,2,Friday
2012-05-12,27.71,27.75,27.9,27.26,2,Saturday
2012-05-18,38.23,42.05,45.0,38.0,2,Friday
2012-05-21,34.03,36.53,36.66,33.0,2,Monday
2012-05-22,31.0,32.61,33.59,30.94,2,Tuesday
2012-05-23,32.0,31.37,32.5,31.36,2,Wednesday
2012-05-24,33.03,32.95,33.21,31.77,2,Thursday
2012-05-25,31.91,32.9,32.95,31.11,2,Friday
2012-05-29,28.84,31.48,31.69,28.65,2,Tuesday
2012-05-30,28.19,28.7,29.55,27.86,2,Wednesday
2012-05-31,29.6,28.55,29.67,26.83,2,Thursday
2012-06-06,26.81,26.07,27.17,25.52,2,Wednesday
2012-06-07,31.73,31.44,31.9,31.26,2,Thursday
2012-06-08,21.92,21.39,22.15,21.3,2,Friday
2012-06-09,18.96,18.74,19.26,18.72,2,Saturday
2012-06-11,21.17,21.24,21.37,20.99,2,Monday
2012-06-12,26.97,27.68,27.75,26.82,2,Tuesday
2012-06-13,27.27,27.66,28.1,27.1,2,Wednesday
2012-06-14,28.29,27.65,28.32,27.38,2,Thursday
2012-06-15,30.01,28.5,30.1,28.35,2,Friday
2012-06-18,31.41,29.95,32.08,29.41,2,Monday
2012-06-19,31.91,31.54,32.18,30.7,2,Tuesday
2012-06-20,31.6,31.92,31.93,31.15,2,Wednesday
2012-06-21,31.84,31.67,32.5,31.51,2,Thursday
2012-06-22,33.05,32.41,33.45,32.06,2,Friday
2012-06-25,32.06,32.86,33.02,31.55,2,Monday
2012-06-26,33.1,32.69,33.44,32.5,2,Tuesday
2012-06-27,32.23,32.46,32.9,31.9,2,Wednesday
2012-06-28,31.36,31.96,32.19,30.9,2,Thursday
2012-06-29,31.09,31.92,31.99,30.76,2,Friday
2012-07-06,26.31,27.0,27.35,26.15,3,Friday
2012-07-08,20.72,22.2,22.45,20.5,3,Sunday
2012-07-09,18.98,19.1,19.42,18.78,3,Monday
2012-07-11,20.47,20.85,20.95,20.37,3,Wednesday
2012-07-12,27.48,27.07,27.78,26.84,3,Thursday
2012-07-13,30.72,31.04,31.07,30.56,3,Friday
2012-07-16,28.25,30.5,30.5,28.21,3,Monday
2012-07-17,28.09,28.48,28.59,27.15,3,Tuesday
2012-07-18,29.11,28.31,29.29,28.15,3,Wednesday
2012-07-19,29.0,29.41,29.5,28.63,3,Thursday
2012-07-20,28.76,29.0,29.47,28.72,3,Friday
2012-07-23,28.75,28.12,29.0,28.01,3,Monday
2012-07-24,28.45,28.82,29.45,28.1,3,Tuesday
2012-07-25,29.34,28.39,29.49,28.08,3,Wednesday
2012-07-26,26.84,27.75,28.23,26.73,3,Thursday
2012-07-27,23.7,23.19,24.54,22.28,3,Friday
2012-07-30,23.15,24.0,24.04,23.03,3,Monday
2012-07-31,21.71,23.37,23.37,21.61,3,Tuesday
2012-08-06,27.1,26.55,27.76,26.44,3,Monday
2012-08-08,20.72,20.71,21.15,20.22,3,Wednesday
2012-08-10,20.4,20.4,20.75,20.16,3,Friday
2012-08-11,19.99,20.52,20.73,19.98,3,Saturday
2012-08-13,21.6,22.15,22.45,21.4,3,Monday
2012-08-14,20.38,21.41,21.6,20.25,3,Tuesday
2012-08-15,21.2,20.64,21.41,20.4,3,Wednesday
2012-08-16,19.87,20.44,20.48,19.69,3,Thursday
2012-08-17,19.05,20.0,20.08,19.0,3,Friday
2012-08-20,20.01,19.05,20.13,18.75,3,Monday
2012-08-21,19.16,19.58,19.98,19.09,3,Tuesday
2012-08-22,19.44,19.36,19.53,18.96,3,Wednesday
2012-08-23,19.44,19.5,19.73,19.36,3,Thursday
2012-08-24,19.41,19.52,19.68,19.25,3,Friday
2012-08-27,19.15,19.49,19.53,19.1,3,Monday
2012-08-28,19.34,19.1,19.38,18.95,3,Tuesday
2012-08-29,19.1,19.32,19.38,19.07,3,Wednesday
2012-08-30,19.09,19.27,19.45,19.06,3,Thursday
2012-08-31,18.06,18.68,18.7,18.03,3,Friday
2012-09-07,32.17,32.1,32.88,31.99,3,Friday
2012-09-08,21.01,20.75,21.17,20.61,3,Saturday
2012-09-10,20.23,20.39,20.55,19.97,3,Monday
2012-09-11,19.21,19.95,20.0,19.13,3,Tuesday
2012-09-13,20.71,20.95,21.48,20.61,3,Thursday
2012-09-14,22.0,21.13,22.08,20.9,3,Friday
2012-09-17,21.52,22.67,22.75,21.5,3,Monday
2012-09-18,21.87,21.6,21.98,21.37,3,Tuesday
2012-09-19,23.29,21.99,23.37,21.77,3,Wednesday
2012-09-20,22.59,23.02,23.24,22.54,3,Thursday
2012-09-21,22.86,22.97,23.24,22.6,3,Friday
2012-09-24,20.79,21.78,21.98,20.36,3,Monday
2012-09-25,20.28,21.2,21.21,20.22,3,Tuesday
2012-09-26,20.62,20.14,20.78,19.8,3,Wednesday
