movie_title,movie_imdb_link,color,genre_4,duration,gross,genre_1,genre_2,genre_3,num_voted_users,facenumber_in_poster,language,country,content_rating,title_year,imdb_score
Femme Fatale ,http://www.imdb.com/title/tt0280665/?ref_=fn_tt_tt_1,Color,Thriller,114.0,,Crime,Drama,Mystery,28584,1,English,France,R,2002.0,6.3
An Unfinished Life ,http://www.imdb.com/title/tt0350261/?ref_=fn_tt_tt_1,Color,,108.0,,Drama,,,24033,3,English,USA,PG-13,2005.0,7.0
C.H.U.D. ,http://www.imdb.com/title/tt0087015/?ref_=fn_tt_tt_1,Color,,96.0,,Horror,Sci-Fi,,7528,0,English,USA,R,1984.0,5.5
Just Wright ,http://www.imdb.com/title/tt1407061/?ref_=fn_tt_tt_1,Color,,100.0,21520719.0,Comedy,Romance,Sport,10103,1,English,USA,PG,2010.0,5.8
Yentl ,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,Color,,132.0,30400000.0,Drama,Musical,Romance,9503,1,English,UK,PG,1983.0,6.6
Walking and Talking ,http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1,Color,,86.0,1277257.0,Comedy,Drama,Romance,2629,2,English,UK,R,1996.0,6.8
Triangle ,http://www.imdb.com/title/tt1187064/?ref_=fn_tt_tt_1,Color,,99.0,,Fantasy,Mystery,Thriller,64423,1,English,UK,R,2009.0,6.9
The Haunting ,http://www.imdb.com/title/tt0171363/?ref_=fn_tt_tt_1,Color,Thriller,113.0,91188905.0,Fantasy,Horror,Mystery,58184,0,English,USA,PG-13,1999.0,4.9
Winnie Mandela ,http://www.imdb.com/title/tt1551641/?ref_=fn_tt_tt_1,Color,,104.0,,Biography,Drama,History,609,2,English,South Africa,R,2011.0,6.0
Limitless             ,http://www.imdb.com/title/tt4422836/?ref_=fn_tt_tt_1,Color,Thriller,42.0,,Crime,Drama,Sci-Fi,38177,2,English,USA,TV-14,,7.9
Johnny Suede ,http://www.imdb.com/title/tt0104567/?ref_=fn_tt_tt_1, Black and White,,97.0,,Comedy,Music,Romance,3013,0,English,Switzerland,R,1991.0,5.8
Nomad: The Warrior ,http://www.imdb.com/title/tt0374089/?ref_=fn_tt_tt_1,Color,,112.0,,Drama,History,War,3322,0,Kazakh,France,R,2005.0,6.0
Whiteout ,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,Color,Thriller,101.0,,Action,Crime,Mystery,31918,1,English,USA,R,2009.0,5.5
Misconduct ,http://www.imdb.com/title/tt3658772/?ref_=fn_tt_tt_1,Color,,106.0,,Drama,Thriller,,6935,3,English,USA,R,2016.0,5.3
Griff the Invisible ,http://www.imdb.com/title/tt1509803/?ref_=fn_tt_tt_1,Color,Sci-Fi,90.0,,Comedy,Drama,Romance,4173,1,English,Australia,PG-13,2010.0,6.1
The Player             ,http://www.imdb.com/title/tt4474310/?ref_=fn_tt_tt_1,Color,Thriller,60.0,,Action,Crime,Drama,5817,2,English,USA,TV-14,,7.1
Down in the Valley ,http://www.imdb.com/title/tt0398027/?ref_=fn_tt_tt_1,Color,,108.0,,Drama,Romance,Thriller,16617,2,English,USA,R,2005.0,6.5
Super Hybrid ,http://www.imdb.com/title/tt1152827/?ref_=fn_tt_tt_1,Color,,94.0,,Horror,Sci-Fi,Thriller,1328,0,English,USA,PG-13,2010.0,3.9
