,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity
count,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0,38951.0
mean,509.8666786475315,0.5518877936075497,0.9964057356548931,0.6923828702960371,10.539960463146004,3.202767579779723,4.2956021668249855,1.2156555672511618,4.547569441474437,7.218094529023645,26.294241482888758,1153.8665885343203,312.41331568641846,13693.545018099663,751701.1039511181,259850.6034325086,1116.5155905929178,5665.209923201479,3137.799304885821,4033.055554414522,10259.256264794229,6422.0299006875275,0.18467225498655862,0.1411444682443249,0.2155399003228249,0.22499462374778464,0.233623079416689,0.4429721244697869,0.11907599081895226,0.03952577400515735,0.0165761998202778,0.6817512636784095,0.2878002240882734,0.3533251317928005,0.09617840974803839,0.7528486237175233,-0.25918962858341127,-0.5162488808690631,-0.10845945191966647,0.28168615667741315,0.07069699939848587,0.34194897319160206,0.15570524929011906
std,369.8228753661475,3.551773869008003,5.277562885248067,3.293624344483802,10.557319007927273,3.634856717179086,7.676575972136466,3.865965158176992,0.8513038903968878,1.90855305451507,69.85530923599791,3881.480933961246,624.9817561797744,58297.34356654094,215174.43585537764,135622.24935555598,1139.2680595285462,6130.736486830813,1324.7935896454258,19883.81559916069,41167.768636849585,24371.250793727755,0.26285538253276336,0.21968853236865818,0.28175241578028215,0.2960454485793137,0.28870077762736357,0.11738085248732441,0.09745425900511626,0.017486309628838043,0.010884483186498865,0.19151613318167737,0.1571079191381712,0.10518576010141444,0.07162869530925894,0.24805959136182723,0.12860935881642124,0.2887511892358335,0.09588717128240808,0.3239266840187622,0.2650981259918718,0.18881772603973043,0.22589923273368753
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0
0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,-1.0,0.0,37400.0,12957.5,0.0,2555.18664047,1336.133300215,0.0,0.0,0.0,0.020000549281949997,0.020000836088800003,0.020000451867000002,0.02000028729885,0.020000494029150002,0.0,-0.1129633387445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6175705467370001,-1.0,-0.5,0.0,-0.7,0.0,0.0
5%,103.0,0.36792105713,0.999999983871,0.4884596453425,1.0,0.0,0.0,0.0,4.1549672203100005,4.0,-1.0,88.0,35.4,0.0,69100.0,28121.42857145,0.0,3254.54637289,1782.4008040449999,0.0,0.0,0.0,0.0200332070265,0.020011829895149998,0.0200181361927,0.02002912979095,0.0202018437899,0.27341908670049997,-0.02563167047835,0.012249899960000001,0.0,0.354838709677,0.0,0.195454545455,0.0333333333333,0.375,-0.46923076923100004,-1.0,-0.29166666666700003,0.0,-0.33333333333299997,0.0,0.0
10%,151.0,0.415488629124,0.9999999891299999,0.562886596778,2.0,0.0,0.0,0.0,4.30303030303,5.0,-1.0,224.0,76.2,0.0,617900.0,107310.0,0.0,3321.46042296,2005.16064768,0.0,0.0,0.0,0.020812580694400003,0.020283648353200002,0.022222782312599998,0.0222224520908,0.0222430280132,0.33112455726100004,0.0,0.018779342723,0.00445103857567,0.478260869565,0.09375,0.248894557823,0.0333333333333,0.5,-0.409305555556,-1.0,-0.1875,0.0,-0.133333333333,0.0454545454545,0.0
20%,215.0,0.459259258125,0.9999999923080001,0.613670132818,4.0,1.0,1.0,0.0,4.43382352941,5.0,-1.0,411.0,123.5,0.0,690400.0,157757.142857,0.0,3483.49186906,2274.79351682,462.0,723.0,698.0,0.0250006817497,0.025000245572,0.025006047260599996,0.0250055042701,0.028571460847,0.37946428571400004,0.04052593911459999,0.025641025641,0.00816326530612,0.56862745098,0.162162162162,0.291326530612,0.0333333333333,0.5,-0.35,-0.8,-0.15,0.0,0.0,0.1,0.0
30%,273.0,0.48884758273400003,0.9999999939759999,0.644278605362,5.0,1.0,1.0,0.0,4.519747235390001,6.0,-1.0,484.0,160.0,0.0,843300.0,187250.0,0.0,3587.84615385,2480.39863683,769.0,1300.0,1200.0,0.0285717204442,0.025729453491000004,0.028575888643099998,0.0285751222634,0.029384744859700003,0.40896825396799996,0.0714444444444,0.030612244898,0.010752688172,0.625,0.2,0.317797017797,0.05,0.6,-0.311458333333,-0.7,-0.125,0.0,0.0,0.2,0.0
